"year","AW","AG","AE","AF","DZ","AZ","AL","AM","AD","AO","AS","AR","AU","AT","AI","BH","BB","BW","BM","BE","BS","BD","BZ","BA","BO","MM","BJ","BY","SB","BR","BT","BG","BN","BI","CA","KH","TD","LK","CG","CD","CN","CL","KY","CM","KM","CO","MP","CR","CF","CU","CV","CK","CY","DK","DJ","DM","DO","EC","EG","IE","GQ","EE","ER","SV","ET","CZ","FI","FJ","FM","FO","PF","FR","GM","GA","GE","GH","GI","GD","GG","GL","DE","GU","GR","GT","GN","GY","PS","HT","HK","HN","HR","HU","IS","ID","IM","IN","IR","IL","IT","CI","IQ","JP","JE","JM","JO","KE","KG","KP","KI","KR","KW","NA","KZ","LA","LB","LV","LT","LR","SK","LI","LS","LU","LY","MG","MO","MD","MN","MS","MW","ME","MK","ML","MC","MA","MU","MR","MT","OM","MV","MX","MY","MZ","NC","NE","VU","NG","NL","SX","NO","NP","NR","SR","NI","NZ","PY","PE","PK","PL","PA","PT","PG","PW","GW","QA","RS","MH","MF","RO","PH","PR","RU","RW","SA","PM","KN","SC","ZA","SN","SH","SI","SL","SM","SG","SO","ES","LC","SD","SE","SY","CH","BL","TT","TH","TJ","TC","TO","TG","ST","TN","TL","TR","TV","TW","TM","TZ","CW","UG","GB","UA","US","BF","UY","UZ","VC","VE","VG","VN","VI","NA.1","WF","EH","WS","SZ","YE","ZM","ZW"
1950,49712,45816,71520,8150368,8892718,2885332,1227156,1355269,6176,4117617,19100,17150336,8267337,6935100,5219,114840,210666,430413,38869,8639369,70498,45645964,65797,2662000,2766028,19487657,1672661,7722155,106647,53443075,163786,7250500,44983,2362522,14011422,4471170,2607769,7533097,826308,13568762,562579779,6090833,6286,4887591,148057,11591658,6286,866982,1259816,5784797,146403,14575,494000,4271000,79248,51423,2352968,3369955,21197691,2963018,211204,1095610,1402510,1939800,20174562,8925122,4008900,287348,30715,31500,62100,42539287,271369,415767,3515602,5297454,22974,75806,45347,22300,68374572,59900,7566028,2968976,2585509,427971,1016540,3097220,2237000,1431447,3837297,9338000,142938,82978392,54759,369880000,16357000,1286131,47105000,2860288,5163443,83805000,56824,1384550,561254,6121184,1738961,9471140,33448,20845771,144774,761000,6693230,1885984,1364030,1936498,2553159,823885,3463446,13500,726182,295587,961305,4620437,205442,2336432,778555,13480,2816600,395587,1224627,3687654,18125,9343384,481270,1005595,311973,488588,79293,28485180,6433799,6250443,55069,3271073,52000,31796939,10120705,2280,3265126,8989915,3432,208068,1097916,1908310,1475669,7632500,40382206,24824000,892502,8442750,1412466,7251,573268,25101,5956000,10904,2869,16311000,21131264,2218000,101936816,2439435,3859801,4594,44341,32903,13595840,2653637,5248,1467759,2087055,12780,1022100,2437932,28062963,79050,6467221,7014005,3495000,4694000,2028,632000,20041628,1530047,5037,45744,1171897,59730,3517210,435529,21121639,4676,7981454,1204075,7934924,101179,5521758,50127000,36774854,151868000,4376162,2194275,6292797,66452,5009006,6243,25348144,26900,463729,6962,9057,81858,277384,4777089,2553000,2853151
1951,51335,46901,73298,8284473,9073304,2983082,1254119,1379204,6310,4173095,19500,17517342,8510600,6935451,5261,117580,214729,436320,39386,8678386,73229,46149840,66759,2721000,2823667,19788256,1704916,7742159,107978,54973775,168026,7258200,47632,2403682,14330675,4581150,2644428,7755062,840223,13831813,567100762,6251933,6399,4947090,150937,11965000,6507,895336,1275178,5891797,150651,14955,502520,4303620,81331,52316,2419125,3458093,21704443,2959311,214064,1111966,1420279,1989756,20511408,9023170,4047300,295212,31674,32100,63000,42883948,277682,418227,3579417,5436555,23219,76969,45537,22700,68875884,63400,7646402,3065784,2624584,439062,1022333,3145938,2015300,1474191,3859830,9423000,145604,84113761,53860,376182850,16810772,1489998,47418000,2918070,5299983,85163848,57451,1405615,584172,6289336,1767107,9167312,34114,20876189,152197,779414,6936060,1920815,1401246,1950888,2561579,843231,3508698,14000,737230,297425,989591,4690031,202367,2422094,788937,13306,2866038,405216,1255619,3761365,18156,9633621,498593,1013753,312646,498356,78614,29296235,6581839,6345838,56780,3324164,53262,32492088,10271552,2320,3295871,9085715,3434,213342,1131307,1947389,1515299,7826200,41346560,25262265,915560,8490250,1435786,7448,576948,27058,6029178,11266,2986,16464000,21775167,2235000,103506916,2485919,3931753,4608,45202,32945,13926314,2703457,5250,1483131,2114827,12969,1068100,2481642,28298010,80801,6642201,7072830,3576577,4749000,2040,648700,20653334,1584833,5022,47378,1194973,59916,3582970,442862,21669334,4731,8251326,1226498,8124902,103244,5670970,50290000,37435785,153982000,4422822,2223060,6489850,68550,5217020,6245,25793577,27700,474595,7050,10133,84351,283699,4869125,2611000,2950941
1952,51955,47961,75273,8425333,9279525,3090973,1282697,1416722,5866,4232095,19300,17876956,8691212,6927772,5303,120447,217959,442308,39876,8730405,76217,46881899,69932,2791000,2883315,20093491,1738315,7698249,109424,56557783,172401,7274900,50634,2445618,14785584,4693836,2682462,7987879,854885,14100005,574536274,6377619,6518,5009067,153936,12350771,6736,926317,1291695,6007797,155037,15286,509053,4334000,83476,53209,2491346,3548753,22223309,2952156,216964,1130445,1438760,2042865,20860941,9125183,4090500,303594,32664,32500,64500,43206189,284320,420702,3628347,5581001,23310,78339,45725,23100,69145952,63600,7733250,3165769,2664249,451430,1030585,3196987,2125900,1517453,3882229,9504000,147962,85418340,53137,382791319,17275640,1620914,47666000,2977019,5441766,86459025,58085,1426095,607914,6464046,1786533,8874977,34792,20947571,160000,797834,7123394,1957268,1439529,1964319,2583984,863308,3558137,13900,748747,299263,1019729,4762912,199489,2466740,800663,13173,2917802,413834,1271611,3836551,18188,9939217,516556,1022556,316619,508138,77940,30144317,6748378,6446316,58615,3379468,54554,33207747,10389292,2360,3327728,9182536,3244,219410,1165790,1994794,1555876,8025700,42342412,25730551,940080,8526050,1460629,7651,580653,29044,6102453,11640,3108,16630000,22438691,2227000,105385090,2534927,4005677,4622,46171,33460,14264935,2755589,5252,1489518,2143249,13176,1127000,2526994,28549870,82114,6821916,7124673,3661549,4815000,2053,662850,21289402,1640949,5030,49066,1219113,60011,3647735,450195,22235677,4788,8550362,1252749,8322925,105351,5824797,50430000,38006180,156393000,4469979,2252965,6681196,70523,5439568,6304,26246839,27900,485831,7138,11336,86746,290243,4963829,2672000,3080907
1953,52585,48976,77480,8573217,9531710,3158974,1314608,1455777,5591,4293840,19200,18230816,8857924,6932483,5345,123469,221303,448377,40385,8777873,79487,47652925,72143,2863000,2944968,20403435,1772899,7666821,110989,58197231,176902,7346100,53678,2488348,15183375,4809293,2721913,8229847,870325,14373435,584191354,6492774,6656,5073595,157062,12749619,6973,958893,1309382,6128797,159567,15597,516602,4369280,85698,54149,2568919,3642591,22754580,2947311,219902,1140395,1457971,2099130,21223618,9220908,4139400,312528,33684,32600,66800,43518191,291302,423276,3687436,5731008,23416,80254,45898,25000,69550236,68700,7817095,3269226,2704514,464323,1040483,3250488,2242200,1562218,3906475,9595000,151036,86890805,52423,389691318,17747610,1667098,47957000,3037159,5589018,87655163,58702,1446425,632897,6646268,1817007,8593652,35485,21060464,168372,816259,7260866,1995462,1478915,1976212,2593918,884145,3598761,14050,760747,301101,1051835,4839248,196948,2505504,813728,13031,2971986,419454,1299452,3913240,18220,10205766,536057,1032021,317248,517930,77273,31031279,6928942,6552276,60581,3437066,55878,33944600,10500550,2400,3360888,9280389,3404,225966,1201514,2047391,1597419,8232100,43372063,26221264,962188,8578950,1487108,7859,584381,31053,6175824,12027,3234,16847000,23122432,2204000,107302806,2586573,4081572,4638,47207,34176,14623631,2810131,5254,1497875,2172336,13384,1191800,2574024,28804128,83198,7006493,7171461,3750114,4878000,2066,678300,21964158,1684446,5033,50808,1244363,60000,3713496,457529,22830516,4845,8849962,1282640,8529355,107502,5983396,50593000,38541349,158956000,4517639,2283920,6886387,71885,5674259,6398,26724094,26900,497453,7228,12682,89031,297025,5061153,2734000,3190967
1954,53220,49967,79947,8728408,9611093,3222581,1352982,1505668,5503,4357527,19500,18580559,9064017,6940209,5387,126708,225244,454640,40919,8819380,83062,48592988,74408,2916000,3008635,20722160,1808895,7698751,112677,59894345,181528,7423300,57070,2531886,15636245,4927590,2762828,8468960,886576,14657484,594724844,6612138,6815,5140805,160318,13162003,7219,993786,1328254,6254337,164262,15926,525170,4406000,88000,55322,2651127,3740256,23298551,2936769,222880,1148378,1477939,2158554,21599912,9290617,4186900,322045,34736,32700,69200,43845297,298650,425951,3759860,5886798,23522,82525,46038,25700,69868115,67100,7893412,3376292,2745388,477498,1048766,3306207,2364900,1610959,3929591,9706000,154563,88521458,51719,396850768,18233684,1711647,48299000,3098513,5742552,88753892,59285,1467585,659275,6836360,1857891,8590165,36191,21258836,177181,834897,7516649,2035370,1519439,1990651,2597435,905784,3661437,14400,773249,302939,1086038,4919118,194893,2565909,828075,12885,3028691,425065,1325223,3991461,18252,10486500,553977,1042164,319787,528920,78684,31959113,7117564,6663941,62689,3497045,57233,34934189,10622809,2442,3394246,9379284,3473,232959,1238630,2092779,1639946,8447000,44434445,26715134,985066,8632100,1515307,8073,588133,33075,6244573,12427,3366,17040000,23827009,2214000,109208917,2640978,4160424,4660,48379,34620,14991553,2867186,5257,1509187,2202105,13604,1248200,2622821,29060413,84353,7196063,7213490,3841974,4929000,2079,697500,22684974,1729862,5066,52607,1270771,60006,3779257,464862,23463817,4903,9159966,1313402,8745102,109696,6147541,50765000,38993798,161884000,4565808,2316543,7061494,73807,5918702,6496,27210027,27200,509470,7319,14187,91357,304057,5162494,2800000,3307273
1955,53865,51046,82715,8891209,9841851,3313718,1392164,1565329,6189,4423223,19800,18927821,9277087,6946885,5430,130253,227255,461100,41459,8868475,87138,49588403,76892,2974000,3074311,21049927,1846175,7780565,114495,61651450,186282,7499400,60983,2576249,16050356,5048797,2805256,8693779,903672,14952568,606729654,6743269,6955,5210832,163711,13588405,7473,1031782,1348342,6381106,169146,16235,532750,4439000,90391,56574,2737257,3842399,23855527,2916133,225899,1154371,1498684,2221139,21990323,9365969,4234900,332185,35821,32600,71900,44242164,306390,428772,3827154,6048606,23643,84621,46161,26600,70195612,68700,7965538,3487032,2786879,491180,1053801,3364562,2490400,1662219,3955526,9825000,158044,90254984,51025,404267590,18738871,1772032,48633000,3164270,5903253,89815060,59850,1488805,686955,7033999,1901498,8863100,36911,21551834,186639,853540,7976879,2077063,1560985,2002111,2614336,928269,3726601,14700,786192,304777,1122475,5002657,192684,2622424,844046,12766,3088155,431658,1340031,4071246,18284,10781677,571669,1053003,314369,539924,80121,32929914,7311720,6781616,64948,3559494,58622,35954661,10758334,2484,3427409,9479233,3676,240403,1277288,2136168,1683477,8671500,45535711,27220668,1010655,8692600,1545070,8292,591909,35102,6313411,12840,3503,17325000,24553055,2250000,111125498,2698272,4243218,4686,49700,35873,15368551,2926863,5261,1517499,2232573,13827,1305500,2673425,29318745,85840,7390764,7262388,3938446,4980000,2092,720800,23451316,1780850,5162,54465,1298389,60227,3846014,472195,24144571,4961,9485858,1347774,8970610,111936,6317454,50946000,39368099,165069000,4614490,2353136,7232067,75468,6170497,6603,27738063,27600,521903,7411,15872,93857,311346,5265327,2869000,3409017
1956,54516,52191,85831,9061938,10057133,3416717,1434476,1617460,6221,4490992,20100,19271511,9500606,6952359,5473,134207,225962,467765,42020,8923845,91596,50461719,79651,3025000,3141998,21387025,1884978,7856790,116446,63481099,191164,7575800,65347,2621454,16445087,5183860,2849247,8917010,921651,15259279,619135938,6888843,7086,5283822,167245,14029321,7736,1071654,1369678,6512938,174228,16552,539339,4466471,92870,57622,2827784,3948587,24425817,2895253,229383,1162801,1520231,2286889,22395376,9442040,4281700,342987,36940,32700,75200,44682239,314547,431741,3887496,6216679,23766,85809,46277,27700,70602518,69200,8031013,3601560,2830556,505229,1061298,3426843,2614600,1715023,3973442,9911000,161358,92059381,50339,411946698,19261174,1850059,48921000,3231423,6073493,90766211,60413,1509975,715991,7240247,1939419,9145043,37645,22031228,196601,872188,8413793,2120616,1603579,2026333,2641167,951644,3787111,15000,799548,306615,1160947,5090058,190465,2682168,862063,12647,3151911,437249,1339977,4152626,18552,11088510,591764,1064559,314066,550941,81585,33945886,7519663,6906364,67369,3624507,60044,37006981,10896906,2526,3459992,9580247,3893,248254,1317387,2178289,1726702,8904900,46679944,27743876,1036550,8756000,1576233,8518,596365,36902,6382341,13267,3646,17583000,25301226,2249000,112859299,2758591,4328970,4721,50932,37619,15755233,2989276,5266,1524799,2263758,14050,1371600,2725932,29579142,87447,7590732,7314552,4040976,5045000,2105,742500,24244475,1836703,5269,56428,1327270,60797,3903067,479528,24877395,5020,9825346,1381525,9206352,114221,6493361,51184000,39940180,168088000,4663691,2389290,7440744,76717,6431274,6730,28327287,28400,534767,7504,17756,96619,318904,5380106,2941000,3529739
1957,55176,53138,89353,9240934,10270856,3526313,1476505,1672403,6424,4561361,20300,19610538,9712569,6965860,5516,138655,225569,474639,42602,8989111,96485,51346451,82461,3076000,3211738,21733717,1925173,7912626,118537,65369855,196179,7651254,69342,2667518,17010154,5322536,2894855,9150728,940458,15577932,633214551,7048426,7225,5359923,170928,14485993,8008,1112300,1392284,6640752,179516,16829,549970,4487831,96418,58462,2923186,4058385,25009741,2878220,232922,1174251,1542611,2355805,22815614,9513758,4324000,354495,38094,33100,76600,45177795,323150,434904,3936823,6391288,23869,87086,46400,28900,71019069,66500,8096218,3720007,2876325,520286,1070439,3490470,2736300,1770390,3991242,9839000,165110,93946913,49663,419901002,19806605,1944401,49182000,3300000,6248643,91563009,60990,1535090,746559,7454779,1976436,9446686,38394,22611552,212846,890842,8709753,2166114,1647412,2055709,2651630,975950,3844277,15200,813338,308453,1201578,5181679,189390,2758940,882134,12516,3221238,442829,1344846,4235632,19081,11406350,609816,1076852,318779,563158,83075,35015548,7739235,7038035,69963,3692184,61501,38091921,11034001,2570,3491938,9682338,4303,256403,1358828,2229407,1770902,9146100,47868932,28235346,1063506,8817650,1609013,8749,601095,38696,6451361,13707,3795,17829327,26072194,2260000,114554838,2822082,4419650,4767,51945,38283,16151549,3054547,5279,1533070,2295678,14297,1445929,2780415,29841614,88360,7796110,7363802,4149908,5126000,2118,764900,25041917,1898639,5382,58168,1357445,61325,3950849,486861,25670939,5080,10164215,1425659,9452826,116552,6675501,51430000,40655779,171187000,4713416,2424959,7694366,78250,6702668,6871,28998543,29400,548080,7599,19864,99661,326741,5498090,3016000,3646340
1958,55843,53788,93340,9428556,10484925,3630590,1521417,1733125,7103,4635885,20500,19946539,9915267,6987358,5560,143798,227979,481731,43124,9052707,101676,52377012,85394,3126000,3283613,22090294,1966816,7982625,120775,67319772,201329,7727553,73521,2714458,17462004,5464922,2942133,9387757,960128,15909008,646703076,7219783,7347,5439350,174766,14958277,8290,1154408,1416198,6763058,185020,17107,562639,4515132,101139,59134,3022747,4172445,25607624,2851522,236514,1185336,1565847,2427891,23251610,9574650,4359800,366755,39284,33800,78100,45680002,332229,438310,3994787,6572719,23984,88359,46546,30100,71488167,66700,8173129,3842609,2924161,536776,1077965,3556698,2854100,1828733,4004029,9882000,168771,95921247,48996,428129417,20379173,2024772,49476000,3373788,6433104,92388772,61604,1565755,778683,7678739,2027026,9769150,39158,23253622,234855,909501,9062534,2213026,1692357,2072119,2672229,1001227,3899751,15450,827697,310291,1244627,5277482,188751,2838489,904296,12382,3294697,448399,1344772,4320297,19624,11734866,627660,1089905,321940,574202,87582,36141955,7965930,7176661,72745,3762630,62993,39210202,11194555,2614,3522993,9788923,4308,265139,1401760,2281533,1816096,9396700,49104112,28692576,1085241,8888550,1643616,8987,606044,40478,6520472,14163,3950,18055948,26866654,2299000,116259155,2888902,4514271,4822,52467,39103,16558044,3123116,5291,1540332,2328351,14544,1518800,2836952,30106188,88249,8007045,7409144,4267748,5199000,2132,788600,25845443,1953527,5508,59962,1388973,61683,4007300,494194,26505694,5141,10500314,1478072,9710558,118931,6864123,51652000,41359132,174149000,4763672,2460411,7951857,79270,6982276,7025,29775192,30000,561854,7694,22222,102902,334837,5619377,3094000,3764157
1959,56518,54149,97870,9624606,10696396,3740596,1571329,1796363,7239,4714676,20400,20281150,10131729,7014331,5604,149769,231394,489080,43682,9103729,106931,53459151,88641,3185000,3357701,22458612,2010163,8075290,123166,69332977,206619,7797777,78540,2763722,17872034,5611117,2991261,9639588,980700,16253014,654349430,7399842,7486,5522218,178754,15446730,8571,1200148,1441243,6900886,190769,17447,572306,4546636,106115,59476,3125752,4291418,26219800,2843041,240163,1197418,1589868,2503149,23702450,9618554,4394700,379819,40511,34500,79600,46155514,341818,442007,4071078,6761280,24106,89239,46723,31200,72013853,67800,8258162,3969595,2974085,554471,1100998,3625271,2967400,1888715,4020631,9937000,172314,97995942,48339,436627859,20977886,2081592,49832000,3463050,6624713,93296566,62262,1599115,812544,7912591,2095631,10102672,39938,23981313,262006,928165,9499911,2260773,1738617,2088934,2717677,1027507,3946039,15900,842730,312129,1290121,5377583,187499,2919316,928632,12255,3370054,454949,1353539,4406655,20183,12074375,645313,1103409,324842,587639,89290,37328466,8195711,7321327,75790,3835954,64522,40362620,11355382,2659,3552851,9906107,4264,274666,1446333,2331122,1862301,9657800,50386898,29152334,1115146,8961550,1680027,9231,611217,42581,6589675,14634,4111,18225830,27685324,2322000,117956865,2958761,4613822,4872,52258,40365,16974984,3194821,5304,1548561,2361885,15007,1587200,2895391,30372877,87645,8223687,7446249,4395082,5259000,2145,817050,26667243,2009483,5624,61811,1421772,62507,4074970,501527,27355811,5202,10852996,1530083,9978909,121359,7059486,51956000,42006030,177135000,4814463,2495022,8223106,79799,7267687,7198,30682902,31000,576077,7791,24860,106412,343201,5743926,3173000,3886947
